0.0,0.0
21.0,-8.0
27.0,5.0
1.0,1.0
-4.0,-5.0
36.0,-22.0
10.0,-11.0
-13.0,14.0
-6.0,28.0
-15.0,8.0
31.0,10.0
34.0,29.0
-9.0,26.0
18.0,-12.0
35.0,-8.0
17.0,16.0
37.0,-6.0
36.0,-7.0
46.0,19.0
15.0,-16.0
22.0,-30.0
31.0,-17.0
-12.0,25.0
18.0,18.0
-7.0,33.0
-1.0,-3.0
3.0,30.0
30.0,6.0
11.0,-19.0
20.0,9.0
-9.0,17.0
-6.0,31.0
50.0,15.0
32.0,-1.0
6.0,33.0
26.0,-32.0
-16.0,20.0
40.0,-24.0
25.0,32.0
35.0,1.0
49.0,-7.0
-4.0,33.0
40.0,-15.0
7.0,23.0
4.0,27.0
9.0,25.0
-11.0,16.0
29.0,4.0
-11.0,15.0
6.0,21.0
2.0,4.0
19.0,-10.0
38.0,-13.0
8.0,17.0
31.0,-3.0
39.0,-11.0
-2.0,-1.0
51.0,-10.0
38.0,-4.0
-3.0,3.0
19.0,20.0
32.0,-16.0
-7.0,19.0
37.0,-19.0
5.0,24.0
-4.0,35.0
24.0,-25.0
30.0,-23.0
-8.0,-7.0
-2.0,2.0
-15.0,22.0
-14.0,18.0
19.0,11.0
7.0,-17.0
18.0,34.0
-17.0,6.0
28.0,-21.0
33.0,-5.0
42.0,28.0
21.0,12.0
-8.0,32.0
29.0,-20.0
22.0,22.0
12.0,-15.0
-14.0,9.0
41.0,-2.0
13.0,-13.0
-12.0,11.0
26.0,-18.0
16.0,-14.0
33.0,-14.0
5.0,31.0
-5.0,-9.0
-8.0,29.0
23.0,7.0
4.0,6.0
16.0,14.0
43.0,-9.0
52.0,6.0
8.0,35.0
28.0,8.0
10.0,20.0
-10.0,12.0
-7.0,23.0
